ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,quarterly,quarterly_lower,quarterly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2025-07-28,3.697339803538204,13.693135637133487,47.193985187735095,3.697333879963199,3.697339803538204,-0.10543816276484455,-0.10543816276484455,-0.10543816276484455,-0.2080975956884583,-0.2080975956884583,-0.2080975956884583,0.10265943292361372,0.10265943292361372,0.10265943292361372,0.0,0.0,0.0,26.316723239926407
2025-08-04,3.698683118095926,10.469221453332766,36.41806075159863,3.698628301422858,3.698720196579838,-0.1813943674504212,-0.1813943674504212,-0.1813943674504212,-0.17164460865278616,-0.17164460865278616,-0.17164460865278616,-0.009749758797635052,-0.009749758797635052,-0.009749758797635052,0.0,0.0,0.0,19.650981189109917
2025-08-11,3.700026432653648,11.185666515338337,38.820115838892335,3.699919514859135,3.700119029992055,-0.1590798980154236,-0.1590798980154236,-0.1590798980154236,-0.032220983691956896,-0.032220983691956896,-0.032220983691956896,-0.1268589143234667,-0.1268589143234667,-0.1268589143234667,0.0,0.0,0.0,21.453053203404608
